_Version,_#,_localtime,_mjd,_sol,_ID1,_ID2,_amag,_ra_o,_dc_o,_ra_t,_dc_t,_elng,_elat,_vo,_vi,_vg,_vs,_a,_q,_e,_p,_peri,_node,_incl,_stream,_dr,_dv%,_mag,_Qo,_dur,_av,_Voa,_Pra,_Pdc,_GPlng,_GPlat,_ra1,_dc1,_az1,_ev1,_lng1,_lat1,_H1,_LD1,_Qr1,_Qd1,_ra2,_dc2,_lng2,_lat2,_H2,_LD2,_Qr2,_Qd2,_LD21,_az1r,_ev1r,_evro,_evrt,_Nts,_Nos,_leap,_rstar,_ddeg,_cdeg,_drop,_inout,_tme,_dt,_GD,_Qc,_dGP,_Gm%,_dv12%,_zmv,_Ed,_Ex,_QA,_Y_ut,_M_ut,_D_ut,_h_ut,_m_ut,_s_ut,_No,_Qp
513,448,_20160714_022053,57583.097836,111.860023,_(UNIFIED_2),_,0.361847,311.762573,-21.291679,311.869751,-21.393402,308.501282,-3.376569,34.718773,34.718773,32.664764,37.194027,2.450182,0.246418,0.899429,3.836827,126.860771,291.862305,5.505266,_spo,-1.000000,-1.000000,0.700000,3.870958,0.300000,0.000000,0.000000,0.000000,0.000000,158.929810,-68.496613,0.000000,0.000000,0.000000,0.000000,315.716095,-19.904446,91.207237,0.000000,0.000000,0.000000,0.000000,0.000000,315.674728,-19.898762,82.367607,0.000000,0.000000,0.000000,9.889402,97.899223,63.156078,0.000000,62.698223,9,9,0.000000,40,0.067890,0.014565,-1,3,1.000000,0.040002,0.000000,65.399727,0.000000,93.150490,3.572520,0.142524,0.000000,0.000000,0.930304,2016,7,14,2,20,53.070004,2,0
513,449,_20160714_032056,57583.139546,111.899796,_(UNIFIED_2),_,-3.342204,349.250275,6.971740,349.626984,7.386425,353.410004,10.893003,54.686882,54.686882,53.176533,31.645502,1.192332,0.244394,0.795029,1.302478,315.641052,111.900162,148.813309,_J8_SAP,4.762068,16.781641,-2.200000,14.892870,0.586000,0.000000,0.000000,0.000000,0.000000,84.750046,-59.023476,0.000000,0.000000,0.000000,0.000000,311.457382,-22.374170,103.022461,0.000000,0.000000,0.000000,0.000000,0.000000,311.214626,-22.464630,88.192719,0.000000,0.000000,0.000000,31.104820,68.075127,28.369148,0.000000,27.735796,15,11,22.222221,47,0.074395,0.006680,-1,3,1.000000,0.050000,0.000000,71.192612,0.000000,89.815857,2.077850,0.558262,0.000000,0.000000,0.921524,2016,7,14,3,20,56.750004,2,0
513,450,_20160714_032056,57583.139546,111.899796,_(UNIFIED_2),_,-2.787405,350.202850,6.075973,350.445068,6.362586,353.752960,9.630454,65.459030,65.459030,64.127144,41.348324,24.792927,0.479230,0.980671,123.499855,273.871002,111.900345,157.924942,_J8_SAP,5.632230,0.355465,-1.000000,4.286931,0.231009,0.000000,0.000000,0.000000,0.000000,86.852882,-59.969837,0.000000,0.000000,0.000000,0.000000,311.352047,-22.408373,96.018661,0.000000,0.000000,0.000000,0.000000,0.000000,311.232208,-22.449671,88.923553,0.000000,0.000000,0.000000,15.121643,69.531563,27.889509,0.000000,26.903355,12,8,26.666666,14,0.035190,0.013670,-1,3,1.000000,0.090002,0.000000,66.118599,0.065610,100.000000,0.901454,0.374336,0.000000,0.000000,0.434041,2016,7,14,3,20,56.779995,2,0
513,451,_20160714_045652,57583.206161,111.963318,_(UNIFIED_2),_,-0.788697,8.735745,-34.592293,8.911088,-34.814777,352.249023,-35.057976,56.960060,56.960060,55.587051,40.456318,8.156919,0.683205,0.916242,23.305799,71.683243,291.963257,107.760254,_spo,-1.000000,-1.000000,-0.500000,8.415915,0.379800,0.000000,0.000000,0.000000,0.000000,191.086426,-54.889603,0.000000,0.000000,0.000000,0.000000,314.923145,-21.382219,106.746132,0.000000,0.000000,0.000000,0.000000,0.000000,314.799633,-21.319288,90.998680,0.000000,0.000000,0.000000,21.633406,118.121140,46.628021,0.000000,46.383610,13,13,0.000000,68,0.030525,0.012070,-1,3,1.000000,0.100004,0.000000,82.799164,0.121522,99.936050,2.101920,0.265101,0.000000,0.000000,0.906800,2016,7,14,4,56,52.289997,2,0
513,452,_20160714_061058,57583.257619,112.012390,_(UNIFIED_3),_,0.240062,66.958458,-49.989174,69.824799,-49.969498,48.344387,-70.502960,38.754639,38.754639,36.816895,39.589497,4.979734,0.995506,0.800089,11.116906,342.469727,292.012512,62.224495,_spo,-1.000000,-1.000000,1.133333,5.245272,0.494928,0.000000,0.000000,0.000000,0.000000,202.931625,-38.294937,0.000000,0.000000,0.000000,0.000000,310.821999,-21.260256,92.467979,0.000000,0.000000,0.000000,0.000000,0.000000,310.705036,-21.137568,87.334694,0.000000,0.000000,0.000000,19.180737,138.113037,15.518604,0.000000,14.456560,14,13,7.326007,44,0.041333,0.010123,-1,3,1.000000,0.430002,0.000000,75.846321,0.025970,99.980904,1.510569,1.843232,0.000000,0.000000,0.951845,2016,7,14,6,10,58.269997,3,0
513,453,_20160714_062717,57583.268948,112.023193,_(UNIFIED_2),_,-1.002854,18.729006,44.777302,18.914103,45.565235,36.619896,34.393585,59.899033,59.899033,58.659264,39.403416,4.600147,0.908484,0.802510,9.870345,139.583206,112.023315,117.907539,_spo,-1.000000,-1.000000,0.200000,5.282476,0.308922,0.000000,0.000000,0.000000,0.000000,51.151917,-25.315275,0.000000,0.000000,0.000000,0.000000,311.077679,-20.296375,108.561638,0.000000,0.000000,0.000000,0.000000,0.000000,311.001099,-20.436367,103.273476,0.000000,0.000000,0.000000,18.504133,27.330408,15.989286,0.000000,15.315206,8,8,0.000000,30,0.043940,0.015865,-1,3,1.000000,0.299998,0.000000,77.953903,0.014253,90.672699,3.007524,0.798665,0.000000,0.000000,0.955322,2016,7,14,6,27,17.150002,2,0
513,454,_20160714_062836,57583.269871,112.024071,_(UNIFIED_2),_,-0.425267,338.064911,39.310944,337.128510,39.788246,358.423950,44.905739,52.592941,52.592941,51.492294,39.423691,4.638589,0.858990,0.814817,9.994328,229.087967,112.024101,96.478889,_spo,-1.000000,-1.000000,0.650000,5.122741,0.178027,0.000000,0.000000,0.000000,0.000000,52.899593,16.945454,0.000000,0.000000,0.000000,0.000000,325.353092,-7.998417,100.239494,0.000000,0.000000,0.000000,0.000000,0.000000,325.372040,-8.059292,94.211311,0.000000,0.000000,0.000000,9.362962,343.004089,40.107136,0.000000,40.475174,13,13,4.166667,34,0.066695,0.020200,-1,2,1.000000,0.054999,0.000000,36.194599,0.011881,99.989967,2.295868,0.865527,0.000000,0.000000,0.748405,2016,7,14,6,28,36.840004,2,0
513,455,_20160714_063650,57583.275589,112.029526,_(UNIFIED_2),_,-1.748565,5.138918,49.424866,4.596222,50.099266,28.853720,43.111427,56.800171,56.800171,55.641911,39.879997,5.721072,1.000615,0.825100,13.689601,164.897217,112.029594,106.189392,_J8_ZCS,0.436611,2.893698,-0.650000,13.461492,0.607218,0.000000,0.000000,0.000000,0.000000,55.341156,-6.769679,0.000000,0.000000,0.000000,0.000000,324.373138,-8.100807,108.921707,0.000000,0.000000,0.000000,0.000000,0.000000,324.341743,-8.359711,90.746094,0.000000,0.000000,0.000000,34.490070,7.025702,31.822035,0.000000,32.051270,38,38,0.000000,32,0.072270,0.012955,-1,3,1.000000,0.130003,0.000000,39.552593,0.003039,99.997643,1.124370,0.760067,0.000000,0.000000,0.936547,2016,7,14,6,36,50.859997,2,0
513,456,_20160714_074252,57583.321445,112.073257,_(UNIFIED_2),_,0.615448,29.913809,-29.089323,29.743143,-29.254644,14.984228,-38.354919,55.168846,55.168846,53.853359,36.110489,2.009287,0.983903,0.510322,2.849296,25.158234,292.073181,110.683220,_spo,-1.000000,-1.000000,1.150000,3.034962,0.130394,0.000000,0.000000,0.000000,0.000000,189.733810,-57.574909,0.000000,0.000000,0.000000,0.000000,315.503296,-20.372433,104.794228,0.000000,0.000000,0.000000,0.000000,0.000000,315.477386,-20.360563,98.290512,0.000000,0.000000,0.000000,7.193672,115.138092,64.689201,0.000000,64.694847,6,6,0.000000,30,0.068035,0.013590,-1,3,1.000000,0.075000,0.000000,67.035034,0.240847,99.928131,1.485292,0.222571,0.000000,0.000000,0.898150,2016,7,14,7,42,52.879997,2,0
513,457,_20160714_075210,57583.327898,112.079407,_(UNIFIED_2),_,-0.320327,319.811707,21.110924,318.452637,21.657574,328.949921,35.717274,44.297813,44.297813,43.167011,38.658447,3.534285,0.436570,0.876476,6.647022,282.792694,112.079338,71.846405,_spo,-1.000000,-1.000000,0.300000,4.726812,0.158380,0.000000,0.000000,0.000000,0.000000,23.432524,46.611294,0.000000,0.000000,0.000000,0.000000,316.287018,-20.161837,91.741249,0.000000,0.000000,0.000000,0.000000,0.000000,316.332336,-20.196562,88.437904,0.000000,0.000000,0.000000,7.015893,309.346436,28.231184,0.000000,27.326233,9,9,0.000000,27,0.066975,0.012915,-1,3,1.000000,0.050000,0.000000,66.938026,0.039035,100.000000,3.552768,1.378515,0.000000,0.000000,0.456711,2016,7,14,7,52,10.399996,2,0
